venue,year,title,authors,tags,primary_area,source,forum_id,paper_page,keep_reason,hit_terms
ICML,2026,Protein Fold Classification at Scale: Benchmarking and Pretraining,Dexiong Chen; Andrei Manolache; Mathias Niepert; Karsten Borgwardt,protein,applications->health_medicine,openreview_v2,jPKqiaPTEd,https://openreview.net/forum?id=jPKqiaPTEd,health_medicine,"protein,foldseek,alphafold"
ICML,2026,Induction Meets Biology: Mechanisms of Repeat Detection in Protein Language Models,Gal Pomerants; Yaniv Nikankin; Anja Reusch; Tomer Tsaban; Ora Schueler-Furman; Yonatan Belinkov,protein,social_aspects->accountability_transparency_and_interpretability,openreview_v2,vPUInIYURl,https://openreview.net/forum?id=vPUInIYURl,title_strong_bio,protein
ICML,2026,Proteo-R1: Reasoning Foundation Models for De Novo Protein Design,Fang Wu; Weihao Xuan; Heli Qi; Hanqun Cao; Heng-Jui Chang; Zeqi Zhou; Li Erran Li; Haokai Zhao; Jian Ma; Zijian Carl Ma; Yu-Chi Cheng; Kuan Pang; Xiangru Tang; Zehong Wang; Guanlue Li; Hanchen Wang; Kejun Ying; Pan Lu; Chiho Im; Seungju Han; Peng Xia; Tinson Xu; Yinxi Li; Deyao Zhu; Pheng-Ann Heng; Naoto Yokoya; Masashi Sugiyama; Jure Leskovec; Yejin Choi,"protein,molecule",applications->health_medicine,openreview_v2,dDowWwInhz,https://openreview.net/forum?id=dDowWwInhz,health_medicine,"protein,residues,residue,drug"
ICML,2026,SLAE: Strictly Local All-atom Environment for Protein Representation,Yilin Chen; Tianyu Lu; Cizhang Zhao; Hannah Wayment-Steele; Po-Ssu Huang,"protein,md_structbio",deep_learning->other_representation_learning,openreview_v2,4HDRkXxqNs,https://openreview.net/forum?id=4HDRkXxqNs,generic_area_strong_hit,"protein,residue,conformations"
ICML,2026,scChord: A Probabilistic Manifold Rectification Framework for RNA-to-Protein Translation,Jiawei Zhang; Kangjun Jin; Shuai Xiao; Jiachen Yang,"protein,genomics,single_cell",applications->health_medicine,openreview_v2,jCKbsTW9m8,https://openreview.net/forum?id=jCKbsTW9m8,health_medicine,"protein,antibody,proteomics,single-cell,rna,disease"
ICML,2026,PDFBench: A Benchmark for De Novo Protein Design from Function,Jiahao Kuang; Nuowei Liu; Changzhi Sun; Jie Wang; Tao Ji; Yuanbin Wu,"protein,molecule",applications->health_medicine,openreview_v2,Z6dCaMpiqV,https://openreview.net/forum?id=Z6dCaMpiqV,health_medicine,"protein,enzyme,drug"
ICML,2026,Multi-Objective Protein Design via Memory-Aware Test-Time Scaling in Diffusion Models,Ming Yang; Xin Zheng; Yi Li; YIZHEN ZHENG; Huan Yee Koh; Yanqing Guo; Xiaofeng Cao; Shirui Pan,protein,deep_learning->generative_models_and_autoencoders,openreview_v2,CG4TVesbcR,https://openreview.net/forum?id=CG4TVesbcR,generic_area_focused,"protein,residue"
ICML,2026,Geometric Pocket-Centric Protein Encoding for Polypharmacology-Guided Multi-Target Drug Design,Haoran liu; Xiaoli Lin; Jing Hu; Yu Zou; Xiaolong Zhang,"oncology,protein,molecule",applications->health_medicine,openreview_v2,DuaA7vJGF6,https://openreview.net/forum?id=DuaA7vJGF6,title_strong_bio,"protein,residues,residue,drug,molecules,ligand,nucleotide,diseases,tumor"
ICML,2026,LineageFlow: Flow Matching for High-Fidelity Family-Aware Protein Sequence Generation,Langzhang Liang; Ming Yang; Feng Yi; Junfan Li; Shirui Pan; Xu Yinghui; Tianlei Ying; YIZHEN ZHENG; Zenglin Xu,protein,deep_learning->generative_models_and_autoencoders,openreview_v2,u0LjAArXHi,https://openreview.net/forum?id=u0LjAArXHi,generic_area_focused,"protein,residues,enzyme"
ICML,2026,LipoPU: Pocket-level Prediction of Lipid-Protein Interactions via Positive-Unlabeled Learning,Yuxing Wang; Wenyi Zhang; Yilong Zou; Jing Huang,protein,applications->chemistry_physics_and_earth_sciences,openreview_v2,1AyRuF9ULp,https://openreview.net/forum?id=1AyRuF9ULp,chem_bio,"protein,proteins,residue"
